"rgn_id","label"
1,"Swe - Kattegat"
2,"Den - Kattegat"
3,"Den - Great Belt"
4,"Ger - Great Belt"
5,"Swe - The Sound"
6,"Den - The Sound"
7,"Den - Kiel Bay"
8,"Ger - Kiel Bay"
9,"Den - Bay of Mecklenburg"
10,"Ger - Bay of Mecklenburg"
11,"Swe - Arkona Basin"
12,"Den - Arkona Basin"
13,"Ger - Arkona Basin"
14,"Swe - Bornholm Basin"
15,"Den - Bornholm Basin"
16,"Ger - Bornholm Basin"
17,"Pol - Bornholm Basin"
18,"Pol - Gdansk Basin"
19,"Rus - Gdansk Basin"
20,"Swe - Eastern Gotland Basin"
21,"Pol - Eastern Gotland Basin"
22,"Rus - Eastern Gotland Basin"
23,"Lit - Eastern Gotland Basin"
24,"Lat - Eastern Gotland Basin"
25,"Est - Eastern Gotland Basin"
26,"Swe - Western Gotland Basin"
27,"Lat - Gulf of Riga"
28,"Est - Gulf of Riga"
29,"Swe - Northern Baltic Proper"
30,"Fin - Northern Baltic Proper"
31,"Est - Northern Baltic Proper"
32,"Fin - Gulf of Finland"
33,"Rus - Gulf of Finland"
34,"Est - Gulf of Finland"
35,"Swe - Aland Sea"
36,"Fin - Aland Sea"
37,"Swe - Bothnian Sea"
38,"Fin - Bothnian Sea"
39,"Swe - The Quark"
40,"Fin - The Quark"
41,"Swe - Bothnian Bay"
42,"Fin - Bothnian Bay"
