rgn_id,dimension,score,year
1,status,NA,2014
2,status,20,2014
3,status,27,2014
4,status,NA,2014
5,status,20,2014
6,status,20,2014
7,status,NA,2014
8,status,NA,2014
9,status,70,2014
10,status,70,2014
11,status,NA,2014
12,status,76,2014
13,status,76,2014
14,status,84,2014
15,status,NA,2014
16,status,84,2014
17,status,NA,2014
18,status,NA,2014
19,status,NA,2014
20,status,NA,2014
21,status,NA,2014
22,status,NA,2014
23,status,100,2014
24,status,100,2014
25,status,NA,2014
26,status,20,2014
27,status,50,2014
28,status,50,2014
29,status,100,2014
30,status,100,2014
31,status,NA,2014
32,status,60,2014
33,status,NA,2014
34,status,NA,2014
35,status,95,2014
36,status,95,2014
37,status,80,2014
38,status,80,2014
39,status,67,2014
40,status,67,2014
41,status,80,2014
42,status,80,2014
