rgn_id,dimension,score,year
1,trend,-3.63033133015008e-16,2014
2,trend,-3.63033133015008e-16,2014
3,trend,NA,2014
4,trend,NA,2014
5,trend,NA,2014
6,trend,NA,2014
7,trend,NA,2014
8,trend,NA,2014
9,trend,NA,2014
10,trend,NA,2014
11,trend,4.96506830649455e-16,2014
12,trend,4.96506830649455e-16,2014
13,trend,4.96506830649455e-16,2014
14,trend,2.86658352330186e-16,2014
15,trend,2.86658352330186e-16,2014
16,trend,2.86658352330186e-16,2014
17,trend,2.86658352330186e-16,2014
18,trend,NA,2014
19,trend,NA,2014
20,trend,NA,2014
21,trend,NA,2014
22,trend,NA,2014
23,trend,NA,2014
24,trend,NA,2014
25,trend,NA,2014
26,trend,4.96506830649455e-16,2014
27,trend,NA,2014
28,trend,NA,2014
29,trend,0,2014
30,trend,0,2014
31,trend,0,2014
32,trend,NA,2014
33,trend,NA,2014
34,trend,NA,2014
35,trend,NA,2014
36,trend,NA,2014
37,trend,0.0200956875108194,2014
38,trend,0.0200956875108194,2014
39,trend,4.96506830649455e-16,2014
40,trend,4.96506830649455e-16,2014
41,trend,0,2014
42,trend,0,2014
