rgn_id,resilience_score,year
1,0.849021192,2019
2,0.843887154,2019
3,0.843887154,2019
4,0.805112235,2019
5,0.849021192,2019
6,0.843887154,2019
7,0.843887154,2019
8,0.805112235,2019
9,0.843887154,2019
10,0.805112235,2019
11,0.849021192,2019
12,0.843887154,2019
13,0.805112235,2019
14,0.849021192,2019
15,0.843887154,2019
16,0.805112235,2019
17,0.669751283,2019
18,0.669751283,2019
19,0.353205369,2019
20,0.849021192,2019
21,0.669751283,2019
22,0.353205369,2019
23,0.689576368,2019
24,0.654782588,2019
25,0.737391512,2019
26,0.849021192,2019
27,0.654782588,2019
28,0.737391512,2019
29,0.849021192,2019
30,0.853560432,2019
31,0.737391512,2019
32,0.853560432,2019
33,0.353205369,2019
34,0.737391512,2019
35,0.849021192,2019
36,0.853560432,2019
37,0.849021192,2019
38,0.853560432,2019
39,0.849021192,2019
40,0.853560432,2019
41,0.849021192,2019
42,0.853560432,2019
